Member,Type,Section,Length_m,Total_kg,UR
1,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
2,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
3,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
4,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
5,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
6,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
7,ENDWALL_COL,WB200,6.663,169.24,0.555
8,ENDWALL_COL,WB200,7.326,186.08,0.555
9,ENDWALL_COL,WB200,7.989,202.92,0.555
10,ENDWALL_COL,WB200,7.326,186.08,0.555
11,ENDWALL_COL,WB200,6.663,169.24,0.555
12,CANOPY_BEAM,WB250,2.55,95.1,0.133
13,CANOPY_STRUT,200X65X15NB,3.202,15.37,0.333
14,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
15,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
16,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
17,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
18,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
19,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
20,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
21,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
22,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
23,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
24,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
25,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
26,CANOPY_BEAM,WB250,2.55,95.1,0.133
27,CANOPY_STRUT,200X65X15NB,3.202,15.37,0.333
28,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
29,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
30,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
31,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
32,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
33,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
34,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
35,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
36,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
37,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
38,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
39,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
40,CANOPY_BEAM,WB250,2.55,95.1,0.133
41,CANOPY_STRUT,200X65X15NB,3.202,15.37,0.333
42,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
43,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
44,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
45,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
46,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
47,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
48,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
49,COLUMN,TAPERED 0.300 0.006 0.400 0.200 0.010 0.200 0.010,6.0,287.4,0.138
50,HAUNCH,TAPERED 0.300 0.006 0.500 0.225 0.010 0.225 0.010,3.997,216.63,0.682
51,RAFTER,TAPERED 0.400 0.006 0.300 0.200 0.010 0.200 0.010,15.987,765.79,0.782
